Date,Value
2015-12-31,587450.0
2015-10-31,589000.0
2015-02-28,620000.0
2015-01-31,620000.0
2014-12-31,629000.0
2014-11-30,632500.0
2014-10-31,619900.0
2014-09-30,589700.0
2014-08-31,579000.0
2014-07-31,549900.0
2014-06-30,525000.0
2014-05-31,505000.0
2014-04-30,499900.0
2014-03-31,475000.0
2014-02-28,489000.0
2014-01-31,465000.0
2013-12-31,464750.0
2013-11-30,439000.0
2013-10-31,449000.0
2013-09-30,419900.0
2013-08-31,425000.0
2013-07-31,425000.0
2013-06-30,449000.0
2013-05-31,450000.0
2013-04-30,449995.0
2013-03-31,430000.0
2013-02-28,424999.0
2013-01-31,389000.0
2012-12-31,399000.0
2012-11-30,399000.0
2012-10-31,414900.0
2012-09-30,379900.0
2012-08-31,379000.0
2012-07-31,359000.0
2012-06-30,365000.0
2012-05-31,355000.0
2012-04-30,349000.0
2012-03-31,349900.0
2012-02-29,349000.0
2012-01-31,349000.0
2011-12-31,359000.0
2011-11-30,349000.0
2011-10-31,335000.0
2011-09-30,345900.0
2011-08-31,349900.0
2011-07-31,349900.0
2011-06-30,345000.0
2011-05-31,346000.0
2011-04-30,342999.0
2011-03-31,347000.0
2011-02-28,349900.0
2011-01-31,353100.0
2010-12-31,359000.0
2010-11-30,359000.0
2010-10-31,361200.0
2010-09-30,359900.0
2010-08-31,359900.0
2010-07-31,359900.0
2010-06-30,365000.0
2010-05-31,369000.0
2010-04-30,369000.0
2010-03-31,379000.0
2010-02-28,385000.0
2010-01-31,375000.0
2009-12-31,375000.0
2009-11-30,365000.0
2009-10-31,370000.0
2009-09-30,379900.0
2009-08-31,369900.0
2009-07-31,379000.0
2009-06-30,369000.0
2009-05-31,365000.0
2009-04-30,370000.0
2009-03-31,379900.0
2009-02-28,349500.0
2009-01-31,329900.0
2008-12-31,339900.0
2008-11-30,339900.0
2008-10-31,339900.0
